Id,SalePrice
1461,126957.4
1462,154004.668
1463,182082.292
1464,182585.65
1465,197608.904
1466,184657.484
1467,168080.872
1468,175797.608
1469,182931.434
1470,117908.048
1471,195718.554
1472,91866.438
1473,96161.868
1474,151805.494
1475,137441.936
1476,386703.932
1477,260950.16
1478,301795.178
1479,236986.508
1480,459823.63
1481,310814.138
1482,210210.874
1483,175574.688
1484,174006.342
1485,171940.81
1486,201467.0
1487,326769.602
1488,244284.038
1489,215704.868
1490,197375.01
1491,189329.788
1492,102987.59
1493,179151.76
1494,304409.65
1495,304268.296
1496,224991.054
1497,179127.964
1498,151795.592
1499,151410.368
1500,151507.126
1501,175675.428
1502,156201.12
1503,300082.232
1504,234303.078
1505,218111.382
1506,184605.538
1507,215806.378
1508,201315.452
1509,162745.614
1510,150620.812
1511,149818.314
1512,167863.088
1513,151025.704
1514,168488.998
1515,191005.748
1516,165398.836
1517,151609.054
1518,125860.044
1519,227121.286
1520,132645.974
1521,145002.65
1522,166151.364
1523,114048.172
1524,122996.184
1525,125175.9
1526,130197.466
1527,98838.366
1528,129695.752
1529,141284.064
1530,168357.36
1531,128125.058
1532,113966.68
1533,153259.756
1534,120620.492
1535,161558.216
1536,116285.192
1537,76898.134
1538,192310.486
1539,235818.442
1540,113969.462
1541,161431.234
1542,146510.996
1543,231496.498
1544,84507.414
1545,101822.248
1546,122054.156
1547,140982.536
1548,138799.858
1549,112861.042
1550,143404.936
1551,116535.568
1552,153157.83
1553,153923.808
1554,109674.008
1555,172745.116
1556,95839.374
1557,129561.346
1558,94249.172
1559,116970.228
1560,150999.846
1561,151818.768
1562,125926.414
1563,124221.1
1564,161420.76
1565,155642.872
1566,221961.524
1567,79878.514
1568,218868.208
1569,142367.572
1570,123308.112
1571,134253.914
1572,142512.75
1573,250608.92
1574,112304.224
1575,208869.284
1576,210809.424
1577,212227.134
1578,158748.416
1579,142238.58
1580,190800.594
1581,141703.274
1582,129279.436
1583,337027.06
1584,241226.45
1585,140479.904
1586,76460.03
1587,99818.086
1588,149115.296
1589,109797.444
1590,133465.076
1591,109053.018
1592,128002.342
1593,116799.798
1594,136447.732
1595,121957.496
1596,236036.994
1597,162424.188
1598,184161.482
1599,216483.122
1600,192893.93
1601,68597.05
1602,109168.308
1603,95179.676
1604,275317.636
1605,256575.474
1606,168757.284
1607,164705.742
1608,220340.032
1609,209026.49
1610,156290.342
1611,149803.412
1612,154441.224
1613,169381.8
1614,125687.294
1615,88820.022
1616,82237.074
1617,87879.51
1618,128531.02
1619,131424.132
1620,148054.61
1621,139879.72
1622,147123.368
1623,301328.544
1624,211273.504
1625,132242.314
1626,174946.5
1627,189058.13
1628,286238.438
1629,173287.59
1630,335846.942
1631,228119.818
1632,252572.448
1633,165952.304
1634,182344.268
1635,178540.908
1636,160551.468
1637,176892.972
1638,216608.51
1639,182781.826
1640,253136.04
1641,185135.684
1642,220410.956
1643,225071.398
1644,225971.196
1645,178810.132
1646,152726.9
1647,161037.554
1648,138140.324
1649,138506.7
1650,121318.016
1651,121781.652
1652,90652.238
1653,96015.224
1654,154409.3
1655,156202.39
1656,152443.936
1657,154795.7
1658,151819.89
1659,141964.418
1660,143647.778
1661,453837.45
1662,397727.938
1663,377949.204
1664,440487.088
1665,311511.574
1666,331992.346
1667,345406.274
1668,326751.932
1669,298617.776
1670,340706.866
1671,267324.296
1672,472678.058
1673,301381.732
1674,255401.96
1675,185824.916
1676,189035.688
1677,222138.916
1678,446454.314
1679,372476.502
1680,318624.024
1681,266480.228
1682,298144.828
1683,184467.374
1684,169209.48
1685,172730.062
1686,168107.7
1687,164512.55
1688,188790.76
1689,187180.622
1690,183446.33
1691,171354.264
1692,263114.984
1693,165745.392
1694,185481.794
1695,167841.172
1696,270156.624
1697,170099.258
1698,340626.09
1699,325313.964
1700,239046.268
1701,260397.656
1702,265265.216
1703,260635.672
1704,306283.19
1705,238656.566
1706,444673.204
1707,221189.26
1708,225354.998
1709,298361.37
1710,229315.006
1711,262669.58
1712,240717.092
1713,250707.114
1714,221485.45
1715,200636.146
1716,192757.15
1717,172340.102
1718,141708.4
1719,204227.562
1720,258310.388
1721,175279.914
1722,134208.6
1723,152814.858
1724,218745.112
1725,230335.416
1726,184634.202
1727,171710.51
1728,186349.024
